authors,year,title,venue,doi,arxiv_id,cited_by_count,is_preprint,tracks,n_tracks,relevance_note
Francesco Cavalleri; Francesca Viterbo; Michele Brunetti; Riccardo Bonanno; Veronica Manara; Cristian Lussana et al.,2024.0,Inter‐comparison and validation of high‐resolution surface air temperature reanalysis fields over Italy,International Journal of Climatology,10.1002/joc.8475,,28.0,False,Regional,1,"Inter-comparison and validation of high-resolution surface air temperature reanalysis fields, including CERRA, against dense station data."
Julia Jeworrek; Lichuan Wu; Christian Dieterich; Anna Rutgersson,2017.0,Characteristics of convective snow bands along the Swedish east coast,Earth System Dynamics,10.5194/esd-8-163-2017,,28.0,False,Regional,1,Jeworrek et al.: convective snow bands along the Swedish east coast - the Baltic analogue with coupled atmosphere-ocean-wave modelling.
Yurii Batrak; Ekaterina Kourzeneva; Mariken Homleid,2018.0,"Implementation of a simple thermodynamic sea ice scheme, SICE version 1.0-38h1, within the ALADIN–HIRLAM numerical weather prediction system version 38h1",Geoscientific model development,10.5194/gmd-11-3347-2018,,27.0,False,Regional,1,Batrak et al.: simple thermodynamic sea-ice scheme in ALADIN-HIRLAM. Notes 2 m temperature MAE reaching 1.5 C at +15 h for Svalbard when ice properties are misrepresented.
Michael Scheuerer et al.,2013.0,"Gridded, locally calibrated, probabilistic temperature forecasts based on ensemble model output statistics",Quarterly Journal of the Royal Meteorological Society,10.1002/qj.2323,,26.0,False,Post-processing,1,"Gridded, locally calibrated probabilistic temperature via EMOS - the station-to-grid extrapolation problem."
Hannu Savijärvi,2012.0,Cold air outbreaks over high-latitude sea gulfs,Tellus A Dynamic Meteorology and Oceanography,10.3402/tellusa.v64i0.12244,,26.0,False,Regional,1,Savijarvi: idealised 2-D cold-air outbreak across an 80 km non-frozen gulf at 60N - explicitly a 'Gulf of Finland' configuration. Mechanism paper for mid-gulf land-breeze convergence and snow bands.
Sebastian Lerch et al.,2017.0,Forecaster’s Dilemma: Extreme Events and Forecast Evaluation,Statistical Science,10.1214/16-sts588,,25.0,False,Verification,1,The forecaster's dilemma: conditioning verification on observed extremes favours hedged forecasts. Explains why you cannot simply score 'the cold days only'.
Maxime Taillardat et al.,2022.0,Evaluating probabilistic forecasts of extremes using continuous ranked probability score distributions,International Journal of Forecasting,10.1016/j.ijforecast.2022.07.003,,22.0,False,Verification,1,Weighted scoring rules for evaluating forecasts of extremes without losing propriety.
Gregor Skok et al.,2017.0,Verification of Gridded Wind Forecasts in Complex Alpine Terrain: A New Wind Verification Methodology Based on the Neighborhood Approach,Monthly Weather Review,10.1175/mwr-d-16-0471.1,,22.0,False,Verification,1,Neighbourhood-based wind verification in complex Alpine terrain; a template for verifying wind in orographically complex regions.
Sabine Radanovics et al.,2018.0,Spatial Verification of Ensemble Precipitation: An Ensemble Version of SAL,Weather and Forecasting,10.1175/waf-d-17-0162.1,,22.0,False,Verification,1,Ensemble version of the SAL structure-amplitude-location score: a features-based alternative to neighbourhood methods for spatial ensemble verification.
Elena Tomasi et al.,2025.0,Can AI be enabled to perform dynamical downscaling? A latent diffusion model to mimic kilometer-scale COSMO5.0_CLM9 simulations,Geoscientific model development,10.5194/gmd-18-2051-2025,,21.0,False,Deep downscaling,1,"Latent diffusion model downscaling ERA5 to 2 km over Italy for 2-m temperature and 10-m wind components, targeting COSMO-CLM output, built as a residual on a U-Net reference. The most transferable diffusion setup for the user's variables (temperature and wind, not precipitation)."
Jacob T. Radford; Imme Ebert‐Uphoff; Jebb Q. Stewart,2025.0,A Comparison of AI Weather Prediction and Numerical Weather Prediction Models for 1–7-Day Precipitation Forecasts,Weather and Forecasting,10.1175/waf-d-24-0081.1,,16.0,False,Regional,1,"Radford et al.: AI weather prediction vs NWP for 1-7 day precipitation - the variable the user cannot verify locally, so read for method not for truth data."
Tobias Necker et al.,2024.0,The fractions skill score for ensemble forecast verification,Quarterly Journal of the Royal Meteorological Society,10.1002/qj.4824,,15.0,False,Verification,1,Four candidate ensemble FSS formulations behave very differently; only the probabilistic FSS is well behaved with ensemble size. Essential if you use FSS on an ensemble.
Zheng Qi Wang; Roger Randriamampianina,2021.0,The Impact of Assimilating Satellite Radiance Observations in the Copernicus European Regional Reanalysis (CERRA),Remote Sensing,10.3390/rs13030426,,15.0,False,Regional,1,"Satellite radiance assimilation in CERRA - explains why CERRA is pinned to observations, the same assimilation-circularity trap already found with ERA5 and SYNOP."
Taru Olsson; Tuuli Perttula; Kirsti Jylhä; Anna Luomaranta,2017.0,Intense sea-effect snowfall case on the western coast of Finland,Advances in science and research,10.5194/asr-14-231-2017,,15.0,False,Regional,1,"Intense sea-effect snowfall case, W Finland: 73 cm (31 mm liquid) in under a day, very small footprint. Shows the spatial scale a 0.25 deg forecast cannot resolve."
Laura Slivinski et al.,2025.0,Assimilating Observed Surface Pressure Into ML Weather Prediction Models,Geophysical Research Letters,10.1029/2024gl114396,,14.0,False,AI models,1,Slivinski et al.: assimilating surface pressure into ML models produces noise needing spectral filtering — evidence that ML models are not robust to off-manifold inputs.
Martin Leutbecher et al.,2019.0,On the probabilistic skill of dual‐resolution ensemble forecasts,Quarterly Journal of the Royal Meteorological Society,10.1002/qj.3704,,13.0,False,Verification,1,Probabilistic skill of dual-resolution ensembles; fair scores used to compare configurations with unequal member counts.
Luca Glawion et al.,2025.0,Global spatio-temporal ERA5 precipitation downscaling to km and sub-hourly scale using generative AI,npj Climate and Atmospheric Science,10.1038/s41612-025-01103-y,,12.0,False,Deep downscaling,1,"spateGAN-ERA5: ERA5 precipitation from 24 km/1 h to 2 km/10 min globally, trained solely on German data and validated elsewhere. Evidence on how far a regionally trained generative model transfers."
Cristian Lussana; Ole Einar Tveito; Andreas Dobler; Ketil Tunheim,2019.0,"seNorge_2018, daily precipitation and temperature datasets over Norway",Earth System Science Data (discussion paper),10.5194/essd-2019-43,,12.0,True,Regional,1,seNorge_2018: 1 km daily gridded precipitation and temperature over Norway from station interpolation. Shows what a national gridded product looks like - and that no equivalent exists openly for NW Russia.
Ayumi Fujisaki‐Manome; David Wright; Greg Mann; Eric J. Anderson; Philip Chu; Christiane Jablonowski et al.,2022.0,"Forecasting lake‐/sea‐effect snowstorms, advancement, and challenges",Wiley Interdisciplinary Reviews Water,10.1002/wat2.1594,,11.0,False,Regional,1,"Review: forecasting lake-/sea-effect snowstorms, advancements and challenges. Entry point to the whole subfield."
Pavel Konstantinov; Mikhail Varentsov; Natalia Shartova,2022.0,North Eurasian thermal comfort indices dataset (NETCID): new gridded database for the biometeorological studies,Environmental Research Letters,10.1088/1748-9326/ac7fa9,,11.0,False,Regional,1,NETCID: gridded North Eurasian thermal comfort indices - an example of a Russian-domain gridded product built from reanalysis because station data are sparse and restricted.
Andrey G. Kostianoy; С. А. Лебедев; Evgeniia A. Kostianaia; Yaan A. Prokofiev,2022.0,Interannual Variability of Water Level in Two Largest Lakes of Europe,Remote Sensing,10.3390/rs14030659,,11.0,False,Regional,1,Kostianoy & Lebedev: interannual water-level variability of Ladoga and Onega (Europe's two largest lakes) from satellite altimetry - open remote-sensing route to lake state.
Taru Olsson; Anna Luomaranta; Kirsti Jylhä; Julia Jeworrek; Tuuli Perttula; Christian Dieterich et al.,2020.0,Statistics of sea-effect snowfall along the Finnish coastline based on regional climate model data,Advances in science and research,10.5194/asr-17-87-2020,,11.0,False,Regional,1,Olsson et al.: statistics of sea-effect snowfall along the Finnish coastline from regional climate model data - defines the meteorological conditions favouring snow bands over the NE Baltic.
Marieke Wesselkamp et al.,2025.0,"Advances in land surface forecasting: a comparison of LSTM, gradient boosting, and feed-forward neural networks as prognostic state emulators in a case study with ecLand",Geoscientific model development,10.5194/gmd-18-921-2025,,11.0,False,AI models,1,Wesselkamp et al.: LSTM vs gradient boosting vs MLP as ecLand land-surface emulators. Relevant because your box is snow/boreal-surface dominated and because it benchmarks exactly the model classes your hardware supports.
Peter Manshausen et al.,2025.0,Generative Data Assimilation of Sparse Weather Station Observations at Kilometer Scales,Journal of Advances in Modeling Earth Systems,10.1029/2024ms004505,,10.0,False,AI models,1,Manshausen et al.: generative data assimilation of SPARSE weather station observations at km scale; 10% lower RMSE on held-out stations. Note the caveat of insufficiently dispersive ensembles.
Xiaohui Zhong et al.,2025.0,FuXi-ENS: A machine learning model for efficient and accurate ensemble weather prediction,Science Advances,10.1126/sciadv.adu2854,,10.0,False,AI models,1,"FuXi-ENS: CRPS-trained ensemble, an independent line to AIFS-CRPS."
Eva‐Maria Walz et al.,2024.0,Easy Uncertainty Quantification (EasyUQ): Generating Predictive Distributions from Single-Valued Model Output,SIAM Review,10.1137/22m1541915,,10.0,False,Post-processing,1,EasyUQ / isotonic distributional regression: turns a SINGLE-VALUED forecast into a calibrated distribution with almost no tuning. The natural baseline for a deterministic AI model.
Thomas Bailie et al.,2024.0,Quantile-Regression-Ensemble: A Deep Learning Algorithm for Downscaling Extreme Precipitation,Proceedings of the AAAI Conference on Artificial Intelligence,10.1609/aaai.v38i20.30193,,10.0,False,Deep downscaling,1,Quantile-regression ensemble for downscaling extreme precipitation; a cheaper alternative to adversarial training for tail calibration.
Laura Rontu; Kalle Eerola; Matti Horttanainen,2019.0,Validation of lake surface state in the HIRLAM v.7.4 numerical weather prediction model against in situ measurements in Finland,Geoscientific model development,10.5194/gmd-12-3707-2019,,10.0,False,Regional,1,Rontu & Eerola: validation of HIRLAM lake surface state (FLake + LSWT analysis) against in-situ measurements.
Hannu Savijärvi,2015.0,Cold air outbreaks along a non-frozen sea channel: effects of wind on snow bands,Meteorology and Atmospheric Physics,10.1007/s00703-015-0370-8,,9.0,False,Regional,1,Savijarvi follow-up: effect of wind speed on snow bands along a non-frozen sea channel.
Sebastian J. Arnold et al.,2024.0,Decompositions of the mean continuous ranked probability score,Electronic Journal of Statistics,10.1214/24-ejs2316,,9.0,False,Verification,1,"Modern rigorous treatment of CRPS decompositions (CORP-style), correcting bias in classical binned decompositions."
Simon Lang et al.,2024.0,AIFS-CRPS: Ensemble forecasting using a model trained with a loss function based on the Continuous Ranked Probability Score,arXiv (Cornell University),10.48550/arxiv.2412.15832,2412.15832,9.0,True,Deep downscaling,1,Preprint version of AIFS-CRPS.
Timothy A. Smith et al.,2023.0,Temporal Subsampling Diminishes Small Spatial Scales in Recurrent Neural Network Emulators of Geophysical Turbulence,Journal of Advances in Modeling Earth Systems,10.1029/2023ms003792,,8.0,False,Verification,1,Temporal subsampling in RNN emulators diminishes small spatial scales; mechanism linking training-loss design to loss of variance.
Mikhail Varentsov; Timofey Samsonov; Pavel Kargashin; P. A. Korosteleva; Alexander Varentsov; A A Perkhurova et al.,2020.0,Citizen weather stations data for monitoring applications and urban climate research: an example of Moscow megacity,IOP Conference Series Earth and Environmental Science,10.1088/1755-1315/611/1/012055,,8.0,False,Regional,1,"Varentsov et al.: using Netatmo citizen weather stations for urban climate research in Moscow, with an explicit uncertainty evaluation. Directly relevant given the ISD network has no urban density in St Petersburg."
Barbara Casati et al.,2022.0,The 2020 International Verification Methods Workshop Online: Major Outcomes and Way Forward,Bulletin of the American Meteorological Society,10.1175/bams-d-21-0126.1,,8.0,False,Verification,1,Outcomes of the 2020 International Verification Methods Workshop; current state of spatial and high-resolution verification practice.
Massimo Bonavita,2023.0,On some limitations of data-driven weather forecasting models,arXiv (Cornell University),,2309.08473,8.0,True,AI models,1,Preprint version of the above; note its conclusion that ML models already add value as post-processing-like tools.
Francesco Zanetta et al.,2023.0,Physics-Constrained Deep Learning Postprocessing of Temperature and Humidity,Artificial Intelligence for the Earth Systems,10.1175/aies-d-22-0089.1,,7.0,False,Post-processing,1,Physics-constrained deep-learning postprocessing enforcing thermodynamic consistency between temperature and humidity; advantage largest when DATA ARE SCARCE.
Pan Liujie et al.,2025.0,Comparative Analysis of Precipitation Forecasts between the ECMWF Artificial Intelligence System (AIFS) and Its Integrated Forecast System (IFS),Weather and Forecasting,10.1175/waf-d-24-0227.1,,7.0,False,AI models,1,Direct AIFS vs IFS precipitation comparison — the AIFS-specific verification you need before choosing a target variable.
Rasmus Benestad et al.,2025.0,Downscaling the probability of heavy rainfall over the Nordic countries,Hydrology and earth system sciences,10.5194/hess-29-45-2025,,7.0,False,Deep downscaling,1,"The only northern-European statistical downscaling paper retrieved: empirical-statistical downscaling of heavy-rainfall probability and IDF curves over the Nordic countries. Nearest-region precedent, but not deep learning and precipitation-focused."
Joel Oskarsson et al.,2023.0,Graph-based Neural Weather Prediction for Limited Area Modeling,arXiv (Cornell University),,2309.1737,7.0,True,AI models,1,"Oskarsson et al., Neural-LAM — the original graph-based limited-area formulation and open codebase."
Morten Køltzow; Rafael Grote; Andrew Singleton,2021.0,On the configuration of a regional Arctic Numerical Weather Prediction system to maximize predictive capacity,Tellus A Dynamic Meteorology and Oceanography,10.1080/16000870.2021.1976093,,6.0,False,Regional,1,"Configuration of a regional Arctic NWP system to maximise predictive capability - what resolution, physics and boundary choices actually buy."
Jakob Benjamin Wessel et al.,2024.0,Lead‐time‐continuous statistical postprocessing of ensemble weather forecasts,Quarterly Journal of the Royal Meteorological Society,10.1002/qj.4701,,5.0,False,Post-processing,1,Lead-time-continuous postprocessing: one model across lead times instead of one model per lead time. Directly reduces the number of fits needed.
Arlan Dirkson et al.,2025.0,The Effect of Ensemble Size on the Mean Squared Error and Spread–Error Relationship,Monthly Weather Review,10.1175/mwr-d-24-0189.1,,5.0,False,Verification,1,"Effect of ensemble size on MSE and the spread-error relationship, with correction factors."
David Jobst et al.,2024.0,Time‐series‐based ensemble model output statistics for temperature forecasts postprocessing,Quarterly Journal of the Royal Meteorological Society,10.1002/qj.4844,,4.0,False,Post-processing,1,"Time-series EMOS for temperature with seasonality, trend and autoregressive error structure."
Sándor Baran et al.,2024.0,Clustering-Based Spatial Interpolation of Parametric Postprocessing Models,Weather and Forecasting,10.1175/waf-d-24-0016.1,,4.0,False,Post-processing,1,Clustering-based spatial interpolation of EMOS parameters to locations with NO training data; beats regionally-estimated and interpolated EMOS.
David Jobst et al.,2024.0,Time Series based Ensemble Model Output Statistics for Temperature Forecasts Postprocessing,arXiv preprint,,2402.00555,4.0,True,Post-processing,1,Preprint version of the time-series EMOS work.
Stylianos Hadjipetrou,2026.0,A review of statistical methods for climate downscaling: the underexplored potential of geostatistical simulation,Theoretical and Applied Climatology,10.1007/s00704-026-06120-2,,3.0,False,Deep downscaling,1,Recent review of statistical downscaling with emphasis on stochastic/geostatistical simulation. Useful counterweight to the DL-only literature.
Jorge Baño-Medina et al.,2025.0,A regional high resolution AI weather model for the prediction of atmospheric rivers and extreme precipitation,npj Climate and Atmospheric Science,10.1038/s41612-025-01265-9,,3.0,False,AI models,1,Bano-Medina et al.: regional stretched-grid AI model at 6 km over western US; captures extreme precipitation that coarse global models underestimate.
Sebastian Lerch et al.,2015.0,Similarity-based semi-local estimation of EMOS models,Journal of the Royal Statistical Society Series C (Applied Statistics),10.1111/rssc.12153,1509.03521,3.0,False,Post-processing,1,"Semi-local EMOS: augment each station's training data with data from SIMILAR stations, chosen by distance or by clustering on climatology and forecast-error features. The central answer to per-station vs pooled."
Zhongwei Zhang et al.,2026.0,Physics-based models outperform AI weather forecasts of record-breaking extremes,Science Advances,10.1126/sciadv.aec1433,,3.0,False,AI models,1,"Zhang et al., Sci Adv 2026: for RECORD-BREAKING extremes HRES still beats GraphCast/Pangu/FuXi; AI models underestimate frequency and intensity of records, underpredict hot records, overpredict cold records, errors grow with exceedance."
Tom Beucler et al.,2025.0,Distilling Machine Learning’s Added Value: Pareto Fronts in Atmospheric Applications,Artificial Intelligence for the Earth Systems,10.1175/aies-d-24-0078.1,,3.0,False,AI models,1,"Beucler et al., Pareto fronts: how to decide whether ML added value is real given cost/complexity. Useful sanity framework for a solo project."
Timo Dimitriadis et al.,2023.0,Evaluating Probabilistic Classifiers: The Triptych,arXiv (Cornell University),,2301.10803,3.0,True,Verification,1,"The 'triptych' of diagnostic plots — reliability, discrimination and a Murphy diagram — as a joint evaluation display."
Boris Bonev et al.,2025.0,FourCastNet 3: A geometric approach to probabilistic machine-learning weather forecasting at scale,arXiv (Cornell University),,2507.12144,3.0,True,AI models,1,"FourCastNet 3: probabilistic, well-calibrated, RETAINS REALISTIC SPECTRA to 60 days; 60-day 0.25deg forecast in <4 min on one GPU. The counter-example to 'AI models must blur'."
Kaisa Ylinen et al.,2020.0,Operational statistical postprocessing of temperature ensemble forecasts with station‐specific predictors,Meteorological Applications,10.1002/met.1971,,2.0,False,Post-processing,1,Operational station-specific EMOS-type calibration of ECMWF ENS temperature to 240 h over Europe (FMI). Closest operational analogue to the user's setup.
Jochen Bröcker et al.,2026.0,"Verification of AI–based environmental forecasting systems: What can we do, what do we need to do, and what are the challenges?",Journal of the European Meteorological Society.,10.1016/j.jemets.2026.100032,,2.0,False,AI models,1,"Broecker et al., what verification of AI-based forecasting systems needs — methodological guardrails for your own evaluation."
Christopher Bülte et al.,2024.0,Uncertainty quantification for data-driven weather models,arXiv (Cornell University),10.1175/aies-d-24-0049.1,2403.13458,2.0,False,Post-processing,1,"Systematic comparison of UQ routes for a deterministic AI model (Pangu): initial-condition ensembles vs statistical/ML post-hoc UQ, over Europe."
Marcello Iotti et al.,2025.0,RainScaleGAN: A Conditional Generative Adversarial Network for Rainfall Downscaling,Artificial Intelligence for the Earth Systems,10.1175/aies-d-24-0074.1,,2.0,False,Deep downscaling,1,"RainScaleGAN, conditional GAN for rainfall downscaling."
Michael Aich et al.,2026.0,Conditional diffusion models for downscaling and bias correction of Earth system model precipitation,Geoscientific model development,10.5194/gmd-19-1791-2026,,2.0,False,Deep downscaling,1,"Conditional diffusion performing bias correction and downscaling jointly, trained on observations only via a shared embedding space. Relevant because the user has only station observations as truth."
Zhongwei Zhang et al.,2025.0,Numerical models outperform AI weather forecasts of record-breaking extremes,arXiv (Cornell University),,2508.15724,2.0,True,AI models,1,Preprint of the above with the fuller quantitative statement.
Jacob Landsberg et al.,2026.0,Forecasting the Future With Yesterday's Climate: Temperature Bias in AI Weather and Climate Models,Geophysical Research Letters,10.1029/2025gl119740,2509.22359,1.0,False,AI models,1,"Landsberg et al.: AI models are COLD-BIASED, resembling climates 15-20 yr earlier than the predicted period; cold bias strongest at hottest temperatures. A trained-on-history artefact your bias correction would inherit."
Aaron Van Poecke et al.,2025.0,Self-Attentive Transformer for Fast and Accurate Postprocessing of Temperature and Wind Speed Forecasts,Artificial Intelligence for the Earth Systems,10.1175/aies-d-24-0127.1,,1.0,False,Post-processing,1,"Transformer postprocessing all lead times jointly on EUPPBench; 16.5% CRPS gain for 2m temperature over raw, beating member-by-member benchmark."
Tilmann Gneiting et al.,2025.0,Probabilistic measures afford fair comparisons of AIWP and NWP model output,arXiv preprint,,2506.03744,1.0,True,Post-processing,1,Potential CRPS: fair comparison of AI and physical models by subjecting both to the same IDR postprocessing. The correct way to frame 'is AIFS better here'.
Annette Möller et al.,2019.0,Probabilistic Temperature Forecasting with a Heteroscedastic Autoregressive Ensemble Postprocessing model,Quarterly Journal of the Royal Meteorological Society,10.1002/qj.3667,1903.06739,0.0,False,Post-processing,1,Heteroscedastic autoregressive EMOS for temperature: explicit treatment of error autocorrelation in time.
Aymeric Delefosse et al.,2026.0,Super-resolving coarse-resolution weather forecasts with flow matching,Environmental Data Science,10.1017/eds.2026.10046,,0.0,False,AI models,1,Delefosse et al.: generative super-resolution as a POST-PROCESSING step decoupled from forecasting; re-coarsening consistency check + spectral diagnostics. A clean methodological template.
Maria Pyrina et al.,2026.0,Joint bias correction and downscaling of subseasonal forecasts via diffusion models,Environmental Data Science,10.1017/eds.2026.10047,,0.0,False,AI models,1,Pyrina et al.: joint bias correction and downscaling of subseasonal forecasts via diffusion.
Chugang Yi et al.,2026.0,Efficient Kilometer‐Scale Precipitation Downscaling With Conditional Wavelet Diffusion,Journal of Geophysical Research Machine Learning and Computation,10.1029/2025jh000941,,0.0,False,Deep downscaling,1,Wavelet-domain conditional diffusion achieving 10x precipitation super-resolution to 1 km with a reported 9x inference speedup over pixel-space diffusion. Read for the efficiency trick if diffusion is attempted on limited hardware.
Zeyi Niu et al.,2026.0,Intelligent Shanghai Typhoon Model (ISTM): A Diffusion‐Based Downscaling Emulator From AIFS to Kilometer‐Scale Regional Reanalysis for Typhoon Forecasts,Journal of Geophysical Research Machine Learning and Computation,10.1029/2025jh001072,,0.0,False,AI models,1,ISTM: diffusion downscaling emulator from AIFS to km-scale regional reanalysis; cuts 72-h typhoon intensity error ~39.5% vs AIFS. Proof that AIFS-to-km-scale generative downscaling works.
Kira Feldmann et al.,2014.0,Spatial postprocessing of ensemble forecasts for temperature using nonhomogeneous Gaussian regression,Monthly Weather Review,10.1175/mwr-d-14-00210.1,1407.0058,0.0,False,Post-processing,1,Spatial extension of NGR for temperature with locally adaptive climatology; Gaussian random field vs ECC for spatial dependence.
Zied Ben-Bouallegue et al.,2026.0,SEEPS4ALL: an open dataset for the verification of daily precipitation forecasts using station climate statistics,Earth system science data,10.5194/essd-18-713-2026,,0.0,False,AI models,1,SEEPS4ALL: open dataset for verifying daily precipitation forecasts using station data — relevant given ISD-Lite precip is empty.
Lea Friedli et al.,2019.0,Area-covering postprocessing of ensemble precipitation forecasts using topographical and seasonal conditions,arXiv preprint,,1912.11827,0.0,True,Post-processing,1,Area-covering EMOS using topographical and seasonal predictors instead of station identity - how to postprocess where there is no station.
Regula Keller et al.,2020.0,Seamless multi-model postprocessing for air temperature forecasts in complex topography,arXiv preprint,,2008.07857,0.0,True,Post-processing,1,"Multi-model EMOS blending a convection-permitting LAM with a global ensemble for temperature at Swiss stations; 30% over high-res DMO, 8-12% over single-model EMOS; worst in winter."
Anna Vaughan et al.,2021.0,Convolutional conditional neural processes for local climate downscaling,arXiv preprint,,2101.0795,0.0,True,Post-processing,1,convCNP downscaling: trained model predicts at ARBITRARY locations including stations with no training data. The 'unseen station' architecture.
Moritz Feik et al.,2024.0,Graph Neural Networks and Spatial Information Learning for Post-Processing Ensemble Weather Forecasts,arXiv preprint,,2407.1105,0.0,True,Post-processing,1,GNN postprocessing: stations as graph nodes with attention over neighbours; substantial gain over a strong DRN baseline for 2m temperature over Europe.
David Jobst,2024.0,Gradient-Boosted Mixture Regression Models for Postprocessing Ensemble Weather Forecasts,arXiv preprint,,2412.09583,0.0,True,Post-processing,1,"MIXSAMOS-GB: gradient-boosted MIXTURE regression on standardized anomalies; outperforms state-of-the-art postprocessing for German 2m temperature. Pooled-training + boosting, no deep learning."
Pedro Sousa et al.,2026.0,Earth observation embeddings are effective sub-grid descriptors for probabilistic weather downscaling,arXiv preprint,,2608.12271,0.0,True,Post-processing,1,"Earth-observation foundation-model embeddings as learned sub-grid surface descriptors; +11.5% CRPS for 2m temperature at stations held out in SPACE and time, and works with AI-model input."
James Duncan et al.,2022.0,Generative Modeling of High-resolution Global Precipitation Forecasts,arXiv preprint,,2210.12504,,True,Deep downscaling,1,Generative modelling of high-resolution global precipitation forecasts. Preprint; companion to CorrectorGAN.
Kaifeng Bi et al.,2022.0,Pangu-Weather: A 3D High-Resolution Model for Fast and Accurate Global Weather Forecast,arXiv preprint,,2211.02556,,True,AI models,1,Pangu preprint; more architecture detail on 3DEST and the greedy multi-timestep scheme.
Morteza Mardani et al.,2023.0,Residual Corrective Diffusion Modeling for Km-scale Atmospheric Downscaling,arXiv preprint,,2309.15214,,True,Deep downscaling,1,CorrDiff preprint version (journal version doi:10.1038/s43247-025-02042-5). Cite the journal version; preprint listed for completeness.
Prakhar Srivastava et al.,2023.0,Precipitation Downscaling with Spatiotemporal Video Diffusion,arXiv preprint,,2312.06071,,True,Deep downscaling,1,"Spatiotemporal video diffusion for precipitation super-resolution with a deterministic downscaler followed by a temporally conditioned diffusion stage, compared against six baselines on FV3GFS. Preprint; argues explicitly that the conditional distribution, not the mean, is what matters."
Nikolay Koldunov et al.,2024.0,Emerging AI-based weather prediction models as downscaling tools,arXiv preprint,,2406.17977,,True,Deep downscaling,1,"Uses existing AI-NWP models themselves as downscaling operators, initialised from smoothed ERA5 and coarse CMIP6 fields at one-day lead, for 2-m temperature. An unusual and cheap alternative framing. Preprint."
Thomas Nils Nipen et al.,2024.0,Regional data-driven weather modeling with a global stretched-grid,arXiv preprint,,2409.02891,,True,AI models,1,"Nipen et al.: STRETCHED-GRID extension of AIFS itself — 2.5 km over the Nordics, 31 km globally; pre-trained on 43 yr ERA5 then refined on 3.3 yr MEPS analyses; beats MEPS control and ensemble mean for 2 m temperature. The most directly transferable design for NW Russia."
Muhammad Akhtar Munir et al.,2024.0,Efficient Localized Adaptation of Neural Weather Forecasting: A Case Study in the MENA Region,arXiv preprint,,2409.07585,,True,Deep downscaling,1,"Localised adaptation of a neural weather model for a specific region (MENA). Preprint; the fine-tuning-a-global-model-for-one-region pattern, which is the compute-feasible route."
Rahul Sundar et al.,2024.0,TAUDiff: Highly efficient kilometer-scale downscaling using generative diffusion models,arXiv preprint,,2412.13627,,True,Deep downscaling,1,"TAUDiff: names spectral bias in deterministic regression downscaling as the problem and pairs a deterministic mean-field model with a SMALLER generative diffusion model for the fine-scale residual, for wind velocity. Preprint; the efficiency-minded version of corrective diffusion."
Christopher Subich et al.,2025.0,Fixing the Double Penalty in Data-Driven Weather Forecasting Through a Modified Spherical Harmonic Loss Function,arXiv preprint,,2501.19374,,True,Deep downscaling,1,"Shows that the MSE loss used by most data-driven forecast models causes double-penalty smoothing, and that a parameter-free spherical-harmonic loss modification, applied by FINE-TUNING GraphCast, raised effective resolution from 1250 km to 160 km with better ensemble spread and better surface wind extremes. The cleanest quantification of MSE-induced smoothing, and a fine-tuning-scale intervention."
Simon Adamov et al.,2025.0,Building Machine Learning Limited Area Models: Kilometer-Scale Weather Forecasting in Realistic Settings,arXiv preprint,,2504.0934,,True,AI models,1,Adamov et al.: kilometre-scale ML limited-area models with flexible boundary forcing; systematic ablation of boundary width and graph construction; verified against stations.
Jasper S. Wijnands et al.,2025.0,A comparison of stretched-grid and limited-area modelling for data-driven regional weather forecasting,arXiv preprint,,2507.18378,,True,AI models,1,Wijnands et al.: head-to-head of stretched-grid vs limited-area for regional data-driven forecasting over Europe; SGM is self-contained and generalises better temporally.
Erik Larsson et al.,2025.0,CRPS-LAM: Probabilistic Regional Weather Forecasting with Continuous Ranked Probability Score,arXiv preprint,,2510.09484,,True,Deep downscaling,1,"CRPS-LAM: hybrid CNN/GNN regional ensemble model trained on a CRPS objective, generating members in a single forward pass with roughly 39x speedup over diffusion baselines. Preprint; the compute-efficient alternative to diffusion for probabilistic regional output."
Carlo Saccardi et al.,2025.0,Assessing the Geographic Generalization and Physical Consistency of Generative Models for Climate Downscaling,arXiv preprint,,2510.13722,,True,Deep downscaling,1,"CRITICAL NEGATIVE RESULT. Benchmarks generative downscaling models with physics-inspired diagnostics and finds that CorrDiff-class models trained on central Europe fail to generalise to Iberia, Morocco or SCANDINAVIA, and fail to reproduce derived second-order fields such as divergence and vorticity. Preprint; the strongest published warning against importing a pretrained generative downscaler into northwest Russia."
Even Marius Nordhagen et al.,2025.0,High-Resolution Probabilistic Data-Driven Weather Modeling with a Stretched-Grid,arXiv preprint,,2511.23043,,True,AI models,1,"Nordhagen et al.: probabilistic stretched-grid Nordic model, CRPS-trained in grid-point AND SPECTRAL space. Spectral loss term is NECESSARY for spatially coherent fields; -13% CRPS on 2 m T and -10% on MSLP vs MEPS. Read for the loss-function lesson."
Paula Harder et al.,2025.0,On Global Applicability and Location Transferability of Generative Deep Learning Models for Precipitation Downscaling,arXiv preprint,,2512.014,,True,Deep downscaling,1,"Systematic assessment of generative precipitation-downscaling generalisation across 15 world regions using a hierarchical location-based split, with ERA5 predictors and IMERG 0.1 deg targets. Preprint; the companion transferability study."
